area,length,speed,cross_area,shc,loc,mach_cat,meth_cat,quality
5.378032900824798,7.387552106781068,11.018731819210355,2.6187136307677217,720.033046656329,1.0,3,2,5
5.456135863702712,1.180243566767048,11.08106851818861,3.6701083840938438,327.3436705441449,1.0,3,2,5
3.8186218645335632,2.127591170523623,18.42691685356748,4.660760567501266,694.7242541001178,3.0,1,3,3
6.079148150102292,6.570358275141193,11.851045540151635,2.6606068164927383,558.0947181829719,1.0,3,3,1
5.956197803673898,6.05024372949939,12.657710196971635,3.5884277272162257,530.0322622365368,3.0,3,2,2
6.702355714846121,4.8815795396938855,11.069168282445755,1.9449483332468471,568.7353083019033,2.0,1,3,3
4.772702331236277,9.005388546909751,12.35081622679504,1.946378927490968,567.6142050489029,4.0,3,1,5
5.5609528667180985,1.308185068380419,15.311161380818374,4.737845891329572,515.1110052015001,1.0,3,3,5
6.9775369030983265,6.9461424566788725,13.780811139752931,1.376005807434014,578.1723063190523,2.0,1,2,3
7.835505815532483,5.656142607124089,14.534437745269177,2.81689307025294,649.1755624748939,1.0,1,2,5
4.017333783013588,9.242290270904356,10.556384190364145,3.314431379143308,490.5691845918527,1.0,1,3,2
5.0767957425240455,7.98352371872501,8.990791723500234,2.18592304743618,371.55092225510873,3.0,3,2,5
4.945975001549509,7.909424252682442,16.084060766723994,1.715069878938008,486.1485682744994,4.0,3,1,4
5.565767655283652,7.785480830303075,14.591691742093284,2.3813768799091632,418.94181165515437,2.0,3,2,3
3.9897393004682833,4.6918403841853245,9.772006511512329,4.853745416479203,502.33750436971917,1.0,2,3,5
6.037775211634815,9.891860213866698,10.705596176272207,4.443979134351002,581.3510722077485,3.0,1,1,5
6.377195311709168,0.4848395647136301,7.129457987515768,2.5738824449570727,477.72940970696334,3.0,3,3,1
5.274848480824187,8.216637560419779,11.336520366566901,1.833858912542416,431.3749770082737,4.0,1,1,3
6.256986516426745,3.7368293548583416,15.41726341156714,2.990003416802017,350.46407155209084,4.0,1,1,1
5.0385708819999415,8.737870081908998,8.313846837475051,4.2914792721005695,537.3630199221827,2.0,3,1,5
7.679048844091687,1.691517042800654,15.554573922308155,1.3889244485003285,506.05650727631587,4.0,3,1,2
