name,similarity
KpChL17R,0.8994595692872492
jlNCfHry,0.8945908269553148
uWYEqBob,0.893074163905137
y9hgk8PI,0.8900345486497454
TaXErfDq,0.8881819188017972
SaWxJtpL,0.8876125428980333
uPEQ5pO4,0.8854574725915245
H1DKvswE,0.8796481485565456
oz1x9py2,0.8769689777465539
xv8NMcBC,0.8733508184121026
SnK6OfXx,0.872569272934086
PuDvheoE,0.8700741027259996
5bwrqu2Y,0.8697422680905106
edD4MxL7,0.8686301533034763
2VHLulrn,0.868527633947488
AZ0EWTNS,0.8677946262763027
0NPdfQUu,0.8672161130644492
uGwWsXxd,0.8671194055703861
iLzRge0k,0.8668512690962178
hVuIxakp,0.8655315433229768
